City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Richards Bay,ZA,-28.783,32.0377,61.3,85,38,5.7,scattered clouds
312,Sistranda,NO,63.7256,8.834,40.96,71,73,26.26,broken clouds
313,Pangnirtung,CA,66.1451,-65.7125,2.26,75,71,10.02,broken clouds
314,Portland,US,45.5234,-122.6762,55.62,68,75,4.61,broken clouds
315,Edmundston,CA,47.3737,-68.3251,40.33,89,100,13.8,moderate rain
316,Sidi Ali,DZ,36.0998,0.4206,54.12,87,100,1.79,overcast clouds
317,Mineiros,BR,-17.5694,-52.5511,68.04,63,0,4.23,clear sky
318,Orthez,FR,43.4884,-0.7724,58.08,98,100,2.89,overcast clouds
319,Kruisfontein,ZA,-34.0033,24.7314,56.16,45,5,7.11,clear sky
320,Suntar,RU,62.1444,117.6319,34.27,56,90,5.08,overcast clouds
321,Luderitz,NA,-26.6481,15.1594,63.05,58,0,4.94,clear sky
322,Dryden,CA,49.7833,-92.7503,39.49,26,0,4.61,clear sky
323,Masuri,KR,35.8488,128.1492,64.09,44,1,3.83,clear sky
324,Montfermeil,FR,48.9,2.5667,51.22,79,0,12.66,clear sky
325,Gornopravdinsk,RU,60.05,69.9,45.95,96,100,5.82,overcast clouds
326,Inirida,CO,3.8653,-67.9239,72.05,93,32,1.95,scattered clouds
327,Tabou,CI,4.423,-7.3528,79.88,83,95,4.56,overcast clouds
328,Yoichi,JP,43.2039,140.7703,49.37,44,18,19.3,few clouds
329,Pandan Niog,PH,6.2282,120.5631,79.27,86,100,7.34,light rain
330,Canico,PT,32.6333,-16.85,61.43,81,40,10.36,scattered clouds
331,Artyom,AZ,40.4723,50.333,55.54,82,0,7.54,clear sky
332,Medea,DZ,36.2642,2.7539,50.41,97,100,4.54,overcast clouds
333,Falakata,IN,26.5208,89.2055,81.37,58,0,10.47,clear sky
334,Mandalgovi,MN,45.7625,106.2708,47.79,20,53,8.99,broken clouds
335,Mahajanga,MG,-15.7167,46.3167,77.02,88,20,4.61,few clouds
336,Lianzhou,CN,24.7811,112.3825,82.54,71,5,6.06,clear sky
337,Makungu,TZ,-8.7333,35.2833,62.98,100,100,4.61,heavy intensity rain
338,Humaita,BR,-7.5061,-63.0208,76.08,89,100,1.01,overcast clouds
339,Tibu,CO,8.639,-72.7358,73.44,99,100,2.13,overcast clouds
340,Grong,NO,64.4654,12.3149,35.49,93,100,11.7,light rain
341,Pitea,SE,65.3172,21.4794,23.09,77,58,4.85,broken clouds
342,Sorong,ID,-0.8833,131.25,78.6,88,100,3.83,light rain
343,Vytegra,RU,61.0064,36.4481,20.52,95,92,3.31,overcast clouds
344,Kuruman,ZA,-27.4524,23.4325,57.74,40,64,9.6,broken clouds
345,Boddam,GB,57.4667,-1.7833,34.18,79,5,8.37,clear sky
346,Harlingen,US,26.1906,-97.6961,75.94,92,0,10.36,clear sky
