City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
186,Keningau,MY,2022-04-25 20:01:22,5.3378,116.1602,71.22,99,98,0.47
187,Harper,LR,2022-04-25 20:01:22,4.375,-7.7169,80.11,80,100,6.13
188,Coahuayana,MX,2022-04-25 20:02:23,18.7333,-103.6833,88.25,39,8,8.14
189,Brentwood,US,2022-04-25 20:02:23,40.7812,-73.2462,59.86,32,100,13.8
190,Lubumbashi,CD,2022-04-25 19:58:03,-11.6609,27.4794,61.3,89,44,3.24
191,Camacha,PT,2022-04-25 20:02:24,33.0833,-16.3333,60.22,77,40,9.22
192,Lorengau,PG,2022-04-25 20:02:24,-2.0226,147.2712,80.55,80,47,5.73
193,East London,ZA,2022-04-25 19:59:00,-33.0153,27.9116,62.62,73,12,15.48
194,Georgetown,MY,2022-04-25 20:01:34,5.4112,100.3354,80.53,83,20,2.3
195,Hay River,CA,2022-04-25 20:02:26,60.8156,-115.7999,42.12,83,100,9.48
196,Kattivakkam,IN,2022-04-25 20:02:26,13.2167,80.3167,85.06,87,10,9.86
197,Vardo,NO,2022-04-25 20:02:26,70.3705,31.1107,30.18,86,40,17.27
198,Gizo,SB,2022-04-25 20:02:27,-8.103,156.8419,82.45,73,100,6.51
199,Jacqueville,CI,2022-04-25 20:02:27,5.2052,-4.4146,81.55,86,33,9.01
200,Lima Duarte,BR,2022-04-25 20:02:28,-21.8425,-43.7931,73.49,86,86,3.67
201,Shakawe,BW,2022-04-25 20:02:29,-18.3667,21.85,72.77,46,82,2.15
202,Luanda,AO,2022-04-25 20:01:56,-8.8368,13.2343,76.55,85,86,8.97
203,Tianpeng,CN,2022-04-25 20:02:30,30.9866,103.9393,66.72,71,100,4.83
204,Sambava,MG,2022-04-25 20:02:30,-14.2667,50.1667,75.15,88,98,9.86
205,Diapaga,BF,2022-04-25 20:02:31,12.0708,1.7889,94.06,8,100,2.84
206,Henties Bay,NA,2022-04-25 20:02:31,-22.116,14.2845,63.07,67,0,7.56
207,Salekhard,RU,2022-04-25 20:02:32,66.53,66.6019,14.14,98,69,5.14
208,Putina,PE,2022-04-25 20:02:33,-15.4667,-69.4333,50.58,53,86,6.73
209,Port Hedland,AU,2022-04-25 20:02:34,-20.3167,118.5667,71.65,94,23,6.91
210,Umm Lajj,SA,2022-04-25 20:02:34,25.0213,37.2685,78.93,41,0,5.23
211,Oyonnax,FR,2022-04-25 20:02:35,46.2592,5.6573,50.13,95,11,2.33
212,Kalyazin,RU,2022-04-25 20:02:35,57.2403,37.8433,49.01,97,100,6.8
213,Aksu,CN,2022-04-25 20:02:36,41.1231,80.2644,63.61,30,100,7.49
214,Iquique,CL,2022-04-25 20:02:37,-20.2208,-70.1431,68.38,75,100,8.12
215,Zhangjiakou,CN,2022-04-25 20:02:37,40.81,114.8794,49.39,18,3,14.32
216,Codrington,AU,2022-04-25 20:02:38,-38.2667,141.9667,56.37,74,100,9.13
217,Sault Sainte Marie,CA,2022-04-25 19:58:05,46.5168,-84.3333,43.36,87,75,6.91
218,Nova Ushytsya,UA,2022-04-25 20:02:39,48.8372,27.2743,51.21,93,100,1.39
219,Porto Novo,BJ,2022-04-25 20:00:51,6.4965,2.6036,81.61,82,13,8.37
220,Ancud,CL,2022-04-25 20:02:40,-41.8697,-73.8203,53.22,91,100,30.98
221,Hamilton,US,2022-04-25 20:00:15,39.1834,-84.5333,69.67,88,100,20.71
222,San Patricio,US,2022-04-25 20:02:41,28.017,-97.5169,88.52,53,92,17.43
223,Bonthe,SL,2022-04-25 20:02:41,7.5264,-12.505,80.69,83,75,11.65
224,Alice Springs,AU,2022-04-25 20:02:42,-23.7,133.8833,51.35,100,71,0.0
225,Ilulissat,GL,2022-04-25 20:02:43,69.2167,-51.1,28.45,89,100,1.68
226,Sembabule,UG,2022-04-25 20:02:43,-0.0772,31.4567,61.9,95,97,2.44
227,Byron Bay,AU,2022-04-25 20:02:43,-28.65,153.6167,59.94,73,100,6.46
228,Ambilobe,MG,2022-04-25 20:02:44,-13.2,49.05,73.24,83,98,4.32
229,Karratha,AU,2022-04-25 20:02:44,-20.7377,116.8463,75.6,72,76,7.83
230,Chifeng,CN,2022-04-25 20:00:23,42.2683,118.9636,53.06,13,60,16.26
231,Kaeo,NZ,2022-04-25 20:02:45,-35.1,173.7833,55.33,96,49,4.36
232,Aklavik,CA,2022-04-25 20:02:46,68.2191,-135.0107,33.21,100,100,4.07
233,Purranque,CL,2022-04-25 20:02:46,-40.9167,-73.1667,48.27,95,100,11.63
234,Tabou,CI,2022-04-25 20:03:47,4.423,-7.3528,79.93,78,100,5.44
235,Bandarbeyla,SO,2022-04-25 20:03:48,9.4942,50.8122,81.93,72,99,6.29
236,Sovetskiy,RU,2022-04-25 20:03:48,61.3614,63.5842,32.18,96,94,2.59
237,Saint-Georges,GD,2022-04-25 20:03:48,12.0564,-61.7485,81.09,77,100,12.41
238,Wynyard,AU,2022-04-25 20:03:49,-41.0,145.7167,56.98,1,90,7.05
239,Birnin Kebbi,NG,2022-04-25 20:03:49,12.4539,4.1975,94.08,8,99,5.82
240,Laguna,US,2022-04-25 20:03:50,38.421,-121.4238,80.15,30,0,5.75
241,Mao,ES,2022-04-25 20:03:50,39.8885,4.2658,59.56,82,0,5.75
242,Bethel,US,2022-04-25 20:01:43,41.3712,-73.414,63.37,38,99,4.0
243,San Jose,US,2022-04-25 19:59:03,37.3394,-121.895,79.9,38,0,10.36
244,Kaitangata,NZ,2022-04-25 20:03:51,-46.2817,169.8464,48.87,70,41,13.62
245,Kijang,KR,2022-04-25 20:03:51,35.2442,129.2139,62.24,98,100,1.41
246,Miles City,US,2022-04-25 20:03:52,46.4083,-105.8406,56.37,44,0,11.5
247,Ileza,RU,2022-04-25 20:03:52,61.0533,43.9002,41.79,98,100,7.87
248,Grafton,US,2022-04-25 20:03:53,42.207,-71.6856,68.07,28,0,8.05
249,Jijiga,ET,2022-04-25 20:03:54,9.35,42.8,64.47,82,99,5.32
250,Cienfuegos,CU,2022-04-25 20:03:54,22.1461,-80.4356,75.34,88,20,9.22
251,Macon,US,2022-04-25 19:59:03,39.8667,-88.9668,56.88,52,100,17.63
252,Bom Despacho,BR,2022-04-25 20:03:55,-19.7364,-45.2522,76.06,58,100,3.15
253,Sisimiut,GL,2022-04-25 20:03:55,66.9395,-53.6735,28.65,81,100,6.26
254,Necochea,AR,2022-04-25 19:59:48,-38.5473,-58.7368,61.68,45,1,6.49
255,Salmas,IR,2022-04-25 20:03:56,38.1973,44.7653,55.31,60,82,0.87
256,Sitka,US,2022-04-25 20:03:56,57.0531,-135.33,47.05,77,98,5.35
257,Caronport,CA,2022-04-25 20:03:57,50.4501,-105.8179,45.54,42,94,12.8
258,Conceicao Da Barra,BR,2022-04-25 20:03:57,-18.5933,-39.7322,78.19,76,7,7.4
259,San Rafael,AR,2022-04-25 20:03:58,-34.6177,-68.3301,69.3,32,0,7.36
260,Luganville,VU,2022-04-25 20:03:58,-15.5333,167.1667,78.3,82,76,8.41
261,Vangaindrano,MG,2022-04-25 20:03:59,-23.35,47.6,72.95,85,98,4.47
262,Russell,US,2022-04-25 20:03:59,32.3502,-85.1999,85.96,40,49,4.41
263,Pevek,RU,2022-04-25 20:04:00,69.7008,170.3133,13.62,82,100,1.77
264,San Carlos De Bariloche,AR,2022-04-25 20:00:06,-41.1456,-71.3082,40.44,94,56,12.82
265,Waipawa,NZ,2022-04-25 20:04:00,-41.4122,175.5153,51.1,80,91,1.61
266,Calvia,ES,2022-04-25 20:04:01,39.5657,2.5062,61.27,60,6,5.53
267,Priiskovyy,RU,2022-04-25 20:04:01,51.9333,116.6333,32.9,91,100,8.99
268,Port Blair,IN,2022-04-25 20:04:02,11.6667,92.75,82.76,72,6,1.79
269,Kyzyl-Suu,KG,2022-04-25 20:04:07,42.3414,78.0056,43.61,71,68,4.83
270,Arrecife,ES,2022-04-25 20:00:16,28.963,-13.5477,69.78,68,20,2.3
271,Lavrentiya,RU,2022-04-25 20:04:08,65.5833,-171.0,22.64,83,97,7.27
272,Akcakoca,TR,2022-04-25 20:04:08,41.0866,31.1162,59.41,82,99,2.64
273,Monywa,MM,2022-04-25 20:04:09,22.1167,95.1333,90.07,26,0,8.5
274,Prince Rupert,CA,2022-04-25 20:04:09,54.3161,-130.3201,48.38,69,100,5.82
275,Rawson,AR,2022-04-25 20:04:10,-43.3002,-65.1023,63.97,29,100,16.78
276,Vitim,RU,2022-04-25 20:04:10,59.4511,112.5578,25.45,96,100,5.46
277,Lyngdal,NO,2022-04-25 20:04:11,58.1376,7.07,48.88,76,36,7.63
278,Astana,KZ,2022-04-25 20:05:11,51.1801,71.446,40.95,45,0,4.47
279,Adrar,MR,2022-04-25 20:05:12,20.5022,-10.0711,80.37,24,0,10.54
280,Lasa,IT,2022-04-25 20:05:12,46.6166,10.7002,45.7,99,100,1.5
281,Alta Floresta,BR,2022-04-25 20:05:13,-9.8756,-56.0861,79.02,84,84,4.81
282,Luorong,CN,2022-04-25 20:05:13,24.4058,109.6086,74.82,90,0,1.97
283,Yarada,IN,2022-04-25 20:05:14,17.65,83.2667,84.52,79,20,2.3
284,Vestmannaeyjar,IS,2022-04-25 20:05:15,63.4427,-20.2734,45.75,85,70,12.19
285,Souillac,MU,2022-04-25 20:01:27,-20.5167,57.5167,75.4,74,34,14.41
286,Lompoc,US,2022-04-25 20:05:15,34.6391,-120.4579,88.79,59,0,18.41
287,Hopatcong,US,2022-04-25 20:05:16,40.9329,-74.6593,58.08,47,100,5.01
288,Ibra,OM,2022-04-25 20:05:16,22.6906,58.5334,79.61,35,4,4.76
289,Havoysund,NO,2022-04-25 20:05:17,70.9963,24.6622,28.63,91,100,27.94
290,Olafsvik,IS,2022-04-25 20:05:17,64.8945,-23.7142,45.07,72,98,5.12
291,Matay,EG,2022-04-25 20:00:29,28.419,30.7792,81.5,30,64,18.16
292,Scarborough,GB,2022-04-25 20:00:28,54.2797,-0.4044,46.78,87,20,1.01
293,Scituate,US,2022-04-25 20:04:22,42.1959,-70.7259,62.35,57,100,3.0
